id,address,city,description,latitude,longitude,price,state,street,title,totalScore,categories,image_url
230,"WMXF+CGV, HAL Airport Area, HAL, Bengaluru, Karnataka 560017, India",Bengaluru,,12.9482437,77.6736899,,Karnataka,WMXF+CGV,Craters of bangalore,4.7,Tourist attraction,"https://lh5.googleusercontent.com/p/AF1QipPu3hs9BY2_J30gLP0tkSfI9J8fOceg8Du8Z7RR=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipNxgvHR8x2kJUwIrfUdswkBPrff5Xh0RUFgSsNi=w1920-h1080-k-no"
231,"89, Nagappa Reddy Layout, Dooravani Nagar, Bengaluru, Karnataka 560016, India",Bengaluru,,13.0090106,77.6767429,,Karnataka,89,Vijinapura Lake,4.7,Tourist attraction,"https://lh5.googleusercontent.com/p/AF1QipNVo-6t13eGtuSF1yi2WtKwJjDqPKOfzcUkmRkb=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipOz_5voIAHzo0lXzDvGX0yztPftNXH6Lnnh6YS0=w1920-h1080-k-no"
232,"406, 6th B Main Rd, HRBR Layout 2nd Block, HRBR Layout, Kalyan Nagar, Bengaluru, Karnataka 560043, India",Bengaluru,,13.022548,77.642624,,Karnataka,"406, 6th B Main Rd",Tabebuia blossoms,,Tourist attraction,
233,"121/2, Main Channel Rd, Halasuru, Saraswatipuram, Appaiah Garden, Bengaluru, Karnataka 560008, India",Bengaluru,,12.9759679,77.631611,,Karnataka,"121/2, Main Channel Rd",The Blue Ballet dancing mural,,Tourist attraction,"https://lh5.googleusercontent.com/p/AF1QipMwDsX3YcMipqMWhXev8VirDPxafE4OlAKBWPEL=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipNUajTzlD5ErqhQCsHaDYRjE21tRz2di06lRGwf=w1920-h1080-k-no"
234,"3D, No, 3, 5th Cross Rd, Michael Palaya, H Colony, Indiranagar, Bengaluru, Karnataka 560038, India",Bengaluru,,12.9812841,77.646522,,Karnataka,"3D, No, 3, 5th Cross Rd",Freedom Wall Bangalore,4.7,Tourist attraction,"https://lh5.googleusercontent.com/p/AF1QipNt7GlvrDETKlXtAYC7-wxlyKfbYRsbpGcS8k1t=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipNuV9UDH2SirHZp-vRonCLCKncmZ7aEUYwuGiZr=w1920-h1080-k-no"
235,"4th cross, Hosa Rd, Naganathapura, E city, Bengaluru, Karnataka 560100, India",Bengaluru,,12.8751707,77.6698457,,Karnataka,"4th cross, Hosa Rd",Bairava travals,,Tourist attraction,
236,"Police Station, Near HAL, HAL Old Airport Rd, Marathahalli, Bengaluru, Karnataka 560037, India",Bengaluru,Aerospace company's museum featuring photographs & models tracing aviation & aeronautics history.,12.954655,77.6809058,,Karnataka,"Police Station, Near HAL, HAL Old Airport Rd",HAL Heritage Centre and Aerospace Museum,4.4,"Tourist attraction, Heritage museum, Museum","https://lh5.googleusercontent.com/p/AF1QipNb68KABsWhTKTsvd_3IExPfL2fuY_zQzJIShWU=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipMQ2xSk7DGLlgW_N1rapwCVJWcBjO4POO29l8CG=w1920-h1080-k-no"
237,"20, Nagasandra Main Rd, Belur Nagasandra, Basavanagudi, Bengaluru, Karnataka 560037, India",Bengaluru,,12.9436083,77.6537024,,Karnataka,"20, Nagasandra Main Rd",Kempegowda Circle B Nagasandra,,Tourist attraction,
238,"XJCX+GXR, 4th Main Road, Hal, HAL 3rd Stage, New Tippasandra, Bengaluru, Karnataka 560075, India",Bengaluru,,12.9713557,77.6498829,,Karnataka,"XJCX+GXR, 4th Main Road",One above all,,Tourist attraction,
239,"XMM8+X48, 1st Cross Rd, Bhuvaneswari Nagar, C V Raman Nagar, Bengaluru, Karnataka 560093, India",Bengaluru,,12.9849162,77.6653274,,Karnataka,"XMM8+X48, 1st Cross Rd",Shiva Statue,4.7,"Tourist attraction, Hindu temple","https://lh5.googleusercontent.com/p/AF1QipP5XRqvom_SaaMlGaYxxXeycmKTCQTwCjD5z-ZO=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipPVp35Y60L3VJINP74FNGYPJ03_jrxxtH-zruJ9=w1920-h1080-k-no"
240,"2P83+82W, Bengaluru - Tirupati Hwy, Jai Bhuvaneshwari Layout, Chikkabasavanapura, Krishnarajapura, Bengaluru, Karnataka 560036, India",Bengaluru,,13.0165004,77.7014953,,Karnataka,"2P83+82W, Bengaluru - Tirupati Hwy",River Ganges,,Tourist attraction,
241,"S R Fruits And Vegetables, St Thomas Town, Inasappa Layout, Kammanahalli, Bengaluru, Karnataka 560043, India",Bengaluru,,13.0171518,77.6362902,,Karnataka,S R Fruits And Vegetables,S R Fruits And Vegetables,,Tourist attraction,
242,"Woodstock Business Center, Whitefield, Nallurhalli, Bengaluru, Karnataka 560066, India",Bengaluru,,12.9699843,77.7357368,,Karnataka,Woodstock Business Center,Nolable Immerssive Experience PVT,,Tourist attraction,
243,"2M4M+J4M, North Ave, Duravani Nagar, Dooravani Nagar, Bengaluru, Karnataka 560016, India",Bengaluru,,13.0065899,77.6827826,,Karnataka,"2M4M+J4M, North Ave",Jawaharlal Nehru Park,4.1,"Tourist attraction, Park","https://lh5.googleusercontent.com/p/AF1QipNsZu3XlXid6yw_STovyVhcNlHKyylQPpg9zbR3=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipPDPaCxrTWkoVqzBR_NkS4t-oHVfwXoSSHi-CbF=w1920-h1080-k-no"
244,"2M7X+PRC, Battarahalli, Bengaluru, Karnataka 560036, India",Bengaluru,"Green corner beside a lake, with play equipment, boating facilities & a snack bar.",13.0143046,77.6995121,,Karnataka,2M7X+PRC,Fantasy Park,3.6,"Tourist attraction, Park","https://lh5.googleusercontent.com/p/AF1QipN-U-9Acarr9aEAfXpqQy1IfYd-SJtrgr62INEb=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipPmsPGI-mzk25bltkdIgr7gf2JHwzMJGSe8vv8K=w1920-h1080-k-no"
245,"2P67+56W, Lourdu Nagar Rd, Lourdu Nagar, Swathantra Nagar, Krishnarajapura, Bengaluru, Karnataka 560049, India",Bengaluru,,13.0104846,77.7130845,,Karnataka,"2P67+56W, Lourdu Nagar Rd",Swathantra nagar lake,4.6,Tourist attraction,"https://lh5.googleusercontent.com/p/AF1QipN-VJrjVpobzd8G7XfRXmhJWW_dv7aupqkf5tt6=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipOKaNVI-9QCk4uiYopU25X4F0i0iaXaoRUHdwfR=w1920-h1080-k-no"
246,"2HFR+4X8, Rabindranath Tagore Nagar Main Rd, R. T. Nagar, Ganganagar, Bengaluru, Karnataka 560032, India",Bengaluru,,13.0227915,77.5924403,,Karnataka,"2HFR+4X8, Rabindranath Tagore Nagar Main Rd",RT Nagar Park,3.6,"Tourist attraction, Park","https://lh5.googleusercontent.com/p/AF1QipPifZdOj9EX9tL1r88z26cJ0JPKKtTkiTpBXiA4=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipMx6uHn0rf7vRCsxUcJWxqlx_funvBBK6avmsO3=w1920-h1080-k-no"
247,"Vidhana Soudha, Devaraj Urs Rd, Ambedkar Veedhi, Sampangi Rama Nagar, Bengaluru, Karnataka 560001, India",Bengaluru,,12.9796734,77.5912443,,Karnataka,"Vidhana Soudha, Devaraj Urs Rd",Bangalore,4.5,Tourist attraction,"https://lh5.googleusercontent.com/p/AF1QipPhQb3qnKB76c4680WKflENdm27u_hHSHAh6_IW=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipNFchlTwCI-7E5Jea5LD-gjdhY9GwsFDcFmWymp=w1920-h1080-k-no"
248,"XP52+HH4, 1st Main Rd, Anand Nagar, Aswath Nagar, Marathahalli, Bengaluru, Karnataka 560037, India",Bengaluru,,12.9588821,77.7014592,,Karnataka,"XP52+HH4, 1st Main Rd",Anjaneya Swamy Temple & Satya Sai Baba Temple,4.6,"Tourist attraction, Hindu temple","https://lh5.googleusercontent.com/p/AF1QipMiEbsFH9OVn-mje-Q2Cg0LcH5lC2i8r2NYjD3f=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipPZRTNPbIcdSbfuAuVKzeRP2zaBXzFU_qUBe-2e=w1920-h1080-k-no"
249,"Metro Station, Beside, Mahatma Gandhi Rd, Shivaji Nagar, Bengaluru, Karnataka 560001, India",Bengaluru,"Vibrant facility providing indoor & outdoor artwork, a performing arts auditorium & green spaces.",12.9763051,77.6037902,,Karnataka,"Metro Station, Beside, Mahatma Gandhi Rd",Rangoli Metro Art Center,4.3,"Tourist attraction, Art gallery","https://lh5.googleusercontent.com/p/AF1QipPobpACwMTJka0OL9JOkZSJhr8wcok-x2xNJ40Y=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipODVrsnOreTHUVtyBZD_hbavOHU717hVeEkH5tw=w1920-h1080-k-no"
250,"1, Mahatma Gandhi Rd, Shanthala Nagar, Shivaji Nagar, Bengaluru, Karnataka 560001, India",Bengaluru,"1808 church with monumental baroque architecture, English-language services & tranquil gardens.",12.9759108,77.6004585,$$$,Karnataka,"1, Mahatma Gandhi Rd",CSI St. Mark's Cathedral,4.6,"Tourist attraction, Church, Cathedral","https://lh5.googleusercontent.com/p/AF1QipMgtdV2MNNxpywk-AsNUpLWETBFEjFuwEzPosRC=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipPa_nGGISj-a4xy1Gp3kfaUWy7IeF1DCqq4o3Dg=w1920-h1080-k-no"
251,"Nitish Gursahaiganj, Swamy Shivanandapuram, Shivaji Nagar, Kannauj, Uttar Pradesh 209722, India",Kannauj,,12.9859116,77.5979926,,Uttar Pradesh,Nitish Gursahaiganj,Mohan Traders,,Tourist attraction,
252,"30/A, Nrupathunga Rd, Ambedkar Veedhi, Sampangi Rama Nagar, Bengaluru, Karnataka 560001, India",Bengaluru,,12.9768354,77.5988017,,Karnataka,"30/A, Nrupathunga Rd",Queen Victoria Statue,4.4,"Tourist attraction, Sculpture","https://lh5.googleusercontent.com/p/AF1QipPp8-ixxP3WqbidZ6JYH1YbNn8EO0C1Yi1r5oVd=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipPbSkglikY2cj3LJBAZdgauWJUPV1-JfIXi7Sbm=w1920-h1080-k-no"
253,"4J84+5QQ, BSF Campus, Yelahanka, Bengaluru, Karnataka 560064, India",Bengaluru,,13.1154662,77.6069977,,Karnataka,4J84+5QQ,Yelahanka Pokhar,,Tourist attraction,
254,"XM9J+5Q7, Talacauvery Housing Society Layout, Basavanagara, Chimatahalli, Tamil Nadu 638461, India",Chimatahalli,,12.9679017,77.681915,,Tamil Nadu,XM9J+5Q7,Shri Basaveshwara circle ಶ್ರೀ ಬಸವೇಶ್ವರ ವೃತ್ತ,,Tourist attraction,"https://lh5.googleusercontent.com/p/AF1QipMByr0ObL0vr0VuRZCOAWZe4TlXrQqqIc-96T_g=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipO7V1TuHSeMYdLTaW-jVSAw5aGk08aNrQkXhf1h=w1920-h1080-k-no"
255,"5216, Kasturba Rd, Near Chinna Swamy Stadium, Ambedkar Veedhi, Bengaluru, Karnataka 560001, India",Bengaluru,"Family-friendly technology & science museum with exhibits on engines, space, biotechnology & more.",12.9752264,77.5963449,,Karnataka,"5216, Kasturba Rd, Near Chinna Swamy Stadium",Visvesvaraya Industrial & Technical Museum,4.6,"Tourist attraction, Children's museum, Education center, Learning center, Science museum, Technology museum, Museum","https://lh5.googleusercontent.com/p/AF1QipOT8ToP6W724ShU5mLpASjJEP-vKTpNrCOS1OA-=w1920-h1080-k-no,https://lh3.googleusercontent.com/gps-proxy/ALm4wwlkFWLVjg2K2IoMwA-HLCN4jTcauUOA_F_OSPw2RUOUtWYdIzFh6_B0W0GcVOMEyXbVN4O8PxDPkgMr3_sh4npeI92N-TckVzX3tN4N7N-g4irodFriVB5Sp1PD1KahHkOLiSHDLAgEVHZjbOiW5Ljci2qWtVYEcBAQ6OZCtTHsanxwyHlbugjsrQ=w1920-h1080-k-no"
256,"Ambedkar Veedhi, mamdot, Punjab 152023, India",mamdot,,12.9818922,77.594504,,Punjab,,najabun enterprise,,Tourist attraction,
257,"2-6, 9th Cross Rd, Kaggadasapura, Bengaluru, Karnataka 560093, India",Bengaluru,,12.9855036,77.6759537,,Karnataka,"2-6, 9th Cross Rd",Chinimika layout,5.0,Tourist attraction,
258,"2HGX+GFQ, Athmananda Colony Main Rd, Kauser Nagar, Dinnur, Hebbal, Bengaluru, Karnataka 560032, India",Bengaluru,,13.0263295,77.5987325,,Karnataka,"2HGX+GFQ, Athmananda Colony Main Rd",Sri Sai Pavan,5.0,Tourist attraction,
259,"3J3C+CFP, Manyata Residency, Manayata Tech Park, Thanisandra, Bengaluru, Karnataka 560045, India",Bengaluru,,13.0535818,77.6212167,,Karnataka,3J3C+CFP,Dr. Shiva Rajkumar Circle ಡಾ. ಶಿವರಾಜಕುಮಾರ್ ವೃತ್ತ,5.0,Tourist attraction,"https://lh5.googleusercontent.com/p/AF1QipPWoiOpXiTeIwjPk80SdcuHBOUjeR2-SDeKaVxu=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipMmjPICoxE5hPTTKuz8Rm7-hKUv0RzEqlXeir-9=w1920-h1080-k-no"
260,"XJMC+RWF, Halasuru, Sivanchetti Gardens, Bengaluru, Karnataka 560042, India",Bengaluru,"Serene park offering waterfront paths for walking & jogging, plus sitting areas.",12.9845597,77.62229,,Karnataka,XJMC+RWF,Halasuru Lake Park,3.8,"Tourist attraction, Park","https://lh5.googleusercontent.com/p/AF1QipOBHZVy4aEFF7WgZH3bI2LPdDnrGu8-EMhR6L-0=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipOA_f0dehg8V4GPd7F3v9yXDDeTRHMtkjaNH2IZ=w1920-h1080-k-no"
261,"XMCQ+9P2, Vibhutipura Extension, Doddanekundi, Doddanekkundi, Bengaluru, Karnataka 560037, India",Bengaluru,,12.9708067,77.6892536,,Karnataka,XMCQ+9P2,Baale cool Nature stay,5.0,Tourist attraction,
262,"1, Service Rd, opposite kalamandir, near airtel store, Ferns City, Anandnagar, Marathahalli, Bengaluru, Karnataka 560037, India",Bengaluru,,12.9765398,77.6967554,,Karnataka,"1, Service Rd, opposite kalamandir, near airtel store",Sri balaji tours & travels,,Tourist attraction,"https://lh5.googleusercontent.com/p/AF1QipOBkHO64K61VWU5DnWpMmkx6b0mIGVayX9i8Xy2=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipPedr35r-v-s_tDwTFjK0ytuPcGAfDPD4zaDsLu=w1920-h1080-k-no"
263,"2HHV+J28, HMT Layout, Ganga Nagar, Bengaluru, Karnataka 560024, India",Bengaluru,"Large, peaceful Sai Baba temple complex with shrines to Hindu deities & daily prayer music.",13.0290443,77.5925686,,Karnataka,"2HHV+J28, HMT Layout, Ganga Nagar",Sri Shirdi Sai Mandira,4.7,"Tourist attraction, Hindu temple","https://lh5.googleusercontent.com/p/AF1QipPjrl_tZrCkJmUmjlt1C8ZYJeo0hSxPmUWl_5cW=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipOzdJ_K6-ZLVwMCwruhl_FnJjIVsL56-EB-ZXZd=w1920-h1080-k-no"
264,"2M5V+8W8, Malur - Byranahalli Rd, Beside Subramanya Swamy Temple, Devasandra, Krishnarajapura, Bengaluru, Karnataka 560036, India",Bengaluru,,13.0082917,77.6948405,,Karnataka,"2M5V+8W8, Malur - Byranahalli Rd, Beside Subramanya Swamy Temple",Ganesha Temple(Katte Vinayaka),4.5,"Tourist attraction, Hindu temple","https://lh5.googleusercontent.com/p/AF1QipOImsd4kjdHSuns1fZv-IhK12-vRfZ4nZkF8UeB=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipN5JTnUT_iCz1aoRugWGM1-bSByLg__uFHznLCu=w1920-h1080-k-no"
265,"XMP7+RFH, DRDO Phase 1 Township, Viswa Vihar, C V Raman Nagar, Bengaluru, Karnataka 560093, India",Bengaluru,,12.9870649,77.6637412,,Karnataka,XMP7+RFH,LCA Aircraft Model,,Tourist attraction,
266,"Masha Allah Travels, Saraipalya, Manayata Tech Park, Sinthan Nagar, Bengaluru, Karnataka 560045, India",Bengaluru,,13.0467262,77.628096,,Karnataka,Masha Allah Travels,Masha Allah Travels,1.0,Tourist attraction,
267,"3JCM+MFR, RKH 1st Main Rd, Police Quarters, RK Hegde Nagar, Bengaluru, Karnataka 560077, India",Bengaluru,,13.0717372,77.63365,,Karnataka,"3JCM+MFR, RKH 1st Main Rd",HEGDE NAGAR - KEMPEGOWDA STATUE,3.0,Tourist attraction,
268,"XMMX+CPQ, Ferns City, Doddanekkundi, Bengaluru, Karnataka 560048, India",Bengaluru,,12.9835904,77.6993536,,Karnataka,XMMX+CPQ,Nakundi gaushala,4.6,Tourist attraction,"https://lh5.googleusercontent.com/p/AF1QipPTupH08m1SBvbbr_eSnfavA5OjwY6X9VkXtlE1=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipPsjj0-luWSepFfIJsxyw5yYQ13_u2EJVk8cM3u=w1920-h1080-k-no"
269,"2M7F+G55, Devki Apparao Layout, Ramamurthy Nagar, Bengaluru, Karnataka 560016, India",Bengaluru,,13.0139431,77.6727669,,Karnataka,2M7F+G55,Mulbagal,,Tourist attraction,
270,"29, 2nd cross, 3rd Main Rd, Om Shakti Layout, 2nd Block, Ayyappa Nagar, Krishnarajapura, Bengaluru, Karnataka 560036, India",Bengaluru,,13.015615,77.7031403,,Karnataka,"29, 2nd cross, 3rd Main Rd",Baby sitting,,Tourist attraction,
271,"1st Floor, #27, NMR, 100 Feet Road, Intermediate Ring Rd, Koramangala, Bengaluru, Karnataka 560047, India",Bengaluru,,12.9382814,77.6305107,,Karnataka,"1st Floor, #27, NMR, 100 Feet Road, Intermediate Ring Rd",Breakout® Escape Rooms | Koramangala | #1 Escape room in Bangalore,4.7,"Tourist attraction, Amusement center, Children's party service, Event management company, Event venue, Escape room center","https://lh5.googleusercontent.com/p/AF1QipNSNKp8jtOVeN7xtUFIPZ2CUUJtLZVniiliaVXJ=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipPg1_vyExf8qMo3S0LL6k2ezjCsr75elr00TjSD=w1920-h1080-k-no"
272,"5th Main Rd, opposite Sony World, 2nd stage Indiranagar, BDA Colony, Village, Domlur, Bengaluru, Karnataka 560071, India",Bengaluru,,12.9623628,77.6352029,,Karnataka,"5th Main Rd, opposite Sony World",Shree Chokkanatha Swami Gudi,4.7,"Tourist attraction, Hindu temple","https://lh5.googleusercontent.com/p/AF1QipOuLZfSTNR_DiIYduwLdOOz5kWE0NmvzZkp69Ut=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipPJFCDkPDQABvIli9i30poedV5Kza1kCTeP9YaP=w1920-h1080-k-no"
273,"5, SH 35, Ramagondanahalli, Bengaluru, Karnataka 560087, India",Bengaluru,,12.9568413,77.745437,,Karnataka,"5, SH 35",Varthur Circle,4.2,Tourist attraction,"https://lh5.googleusercontent.com/p/AF1QipOuU-sOA2pZ5qXBgX6MUc-1cvKgRNfnTeNuXNJ8=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipN9WcBaA5VerIayHTQFDEK1nc3o4TWZWSR-WHbe=w1920-h1080-k-no"
274,"Murugeshpalya, Jeevan Bima Nagar, Bengaluru, Karnataka 560017, India",Bengaluru,,12.9613139,77.656118,,Karnataka,,GlobalTravellors,5.0,Tourist attraction,https://lh5.googleusercontent.com/p/AF1QipOOxDkRfEmvhB7HxoubuHp0LX13X8F95B4WrTaC=w1920-h1080-k-no
275,"XP9H+XJR, Nallurahalli Rd, Whitefield, Nallurhalli, Bengaluru, Karnataka 560066, India",Bengaluru,,12.9699781,77.7290081,,Karnataka,"XP9H+XJR, Nallurahalli Rd",Nallurhalli Park,3.8,"Tourist attraction, Park","https://lh5.googleusercontent.com/p/AF1QipN1xcgX4d7s7kqddZl8JY0IVkDMJYMSTCoTzhjr=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipNohJ7DzB3Y8NT9EOI8HQnDb1Treok1XPMPGS9a=w1920-h1080-k-no"
276,"VJ9V+CHV, Aishwarya Crystal Layout, Begur, Bengaluru, Karnataka 560068, India",Bengaluru,,12.8686174,77.6439272,,Karnataka,VJ9V+CHV,Basapura Lake,4.5,Tourist attraction,"https://lh5.googleusercontent.com/p/AF1QipMBjePksawDoCLH05Dra_mgFQKjLTvpwqWit22d=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipPkcN9NGzz_O96Eu50GRq8A6TTm80jnkmAksVLc=w1920-h1080-k-no"
277,"XP65+QGX, Spice Garden Layout, Lakshminarayana Pura, Chennappa Layout, Marathahalli, Bengaluru, Karnataka 560037, India",Bengaluru,,12.9620296,77.7085469,,Karnataka,XP65+QGX,Photo Point,4.2,Tourist attraction,"https://lh5.googleusercontent.com/p/AF1QipPadQ9IXhW4RX48W1Sg3X6SnxOvMiCMtV9Dtz3v=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipOCx03IYMqZlNSd5uu08j6-M38o0_V5oCs6aZ03=w1920-h1080-k-no"
278,"WMMG+3HP, Bellandur Lake Rd, Kariyammana Agrahara, Bellandur, Bengaluru, Karnataka 560103, India",Bengaluru,,12.9330862,77.676991,,Karnataka,"WMMG+3HP, Bellandur Lake Rd",Bellandur lake view,4.0,Tourist attraction,"https://lh5.googleusercontent.com/p/AF1QipMD0-2UOnSeL4an-wUm76HZO01VEKcMYhrrEiYm=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipOodXMXpfy0rsUyKufODDZNm2Qq8iWxNJuC_wrT=w1920-h1080-k-no"
279,"srivari nelayamu plot 168 13 th cross, KPC Layout, Junnasandra, Karnataka 560035, India",Junnasandra,,12.9011181,77.6804252,,Karnataka,srivari nelayamu plot 168 13 th cross,Junnasandra Lake ( ಜುನ್ನಸಂದ್ರ ಕೆರೆ),1.8,Tourist attraction,"https://lh5.googleusercontent.com/p/AF1QipMhUBf9gsVZkGNMebgLqeWVJwPa2B02ePPyef2j=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipMUuL3jd6YMkQsRxeyLhrIjTj3LJsBSk4_QKRyl=w1920-h1080-k-no"
280,"& Research Centre, VYDEHI INSTITUTE OF MEDICAL SCIENCES, 82, Nallurahalli Main Rd, Whitefield, Nallurhalli, Bengaluru, Karnataka 560066, India",Bengaluru,,12.9685212,77.7352758,,Karnataka,"& Research Centre, VYDEHI INSTITUTE OF MEDICAL SCIENCES, 82, Nallurahalli Main Rd",VIDA Museum,,Tourist attraction,
281,"VMV7+CP7, Silver County Rd, Lakedew Residency- Phase 2, Haralur, Karnataka 560068, India",Haralur,,12.8935373,77.6643028,,Karnataka,"VMV7+CP7, Silver County Rd",Harulur Quarry Lake,1.0,Tourist attraction,"https://lh5.googleusercontent.com/p/AF1QipMm7t5Xn_YWMb8UWqxYi64iW_sTedl0bvkpDrVM=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipMDcqcS7uhMXLeUt6fGAm__dmBAShZd8_EHquqx=w1920-h1080-k-no"
282,"D no. 2 & 3 , 303, 3rd Floor, 3rd Main, 7th Cross, Roopena Agrahara, Hosur Rd, near Silk Board Junction, Kudlu, Sai Meadows, Parappana Agrahara, Bengaluru, Karnataka 560068, India",Bengaluru,,12.8837765,77.656345,,Karnataka,"D no. 2 & 3 , 303, 3rd Floor, 3rd Main, 7th Cross, Roopena Agrahara, Hosur Rd, near Silk Board Junction",Parappana Agrahara Quarry Lake,3.6,Tourist attraction,"https://lh5.googleusercontent.com/p/AF1QipP3vwDP1Xl4iwbFldT5glaRJOvQ6NcA6C-IwbQg=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipPPyF1LuIyW5mNxwYegyB9pkqwlKNc4rLHT8yHE=w1920-h1080-k-no"
283,"WP96+36, Bhoganhalli, Bengaluru, Karnataka 560087, India",Bengaluru,,12.9177076,77.71059,,Karnataka,WP96+36,Gunjur Carmelaram Lake,3.5,Tourist attraction,"https://lh5.googleusercontent.com/p/AF1QipMTlhsoqai265Akpci4lj9oJUR0LtbIqzdsUyOd=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipMFVXQrbB-xgrPzu7HKxIiF4M2QQCYR0CinNmpu=w1920-h1080-k-no"
284,"XP2R+397, Varthur Kere, Varthur, Bengaluru, Bengaluru east, Karnataka 560087, India",Bengaluru,,12.9501647,77.7409162,,Karnataka,"XP2R+397, Varthur Kere, Varthur, Bengaluru, Bengaluru east",Varthur Lake,2.8,Tourist attraction,"https://lh5.googleusercontent.com/p/AF1QipNGn0bZPbCylUgRbJB17w_BO-G71s5SIGNFvbY=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipP2d2fN8TpX86gi8kZsH4txaAvjpQNeItUARDGR=w1920-h1080-k-no"
285,"XJ6H+V8H, Agram, Bengaluru, Karnataka 560007, India",Bengaluru,,12.9621837,77.6283683,,Karnataka,XJ6H+V8H,Vijayanta Main Battle Tank,4.5,Tourist attraction,"https://lh5.googleusercontent.com/p/AF1QipP3QJT6BByflUu8DtjgX9nrqno8fsu1cC3Ka81l=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipN4pmvvx5CBf8b-T8LHxn7K_ZsJQHZYOPU5At45=w1920-h1080-k-no"
286,"Agara Flyover, Agara Village, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102, India",Bengaluru,The annual Ratha Yatra chariot festival is held at this towering 10th-century hilltop temple.,12.9240881,77.6496264,,Karnataka,Agara Flyover,Sri Jagannatha Swami Temple,4.6,"Tourist attraction, Hindu temple","https://lh5.googleusercontent.com/p/AF1QipMdxlNwXaViTO_F8fcXEQfzQuf97IqYrBb2zfr-=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipNTHBcGWkTg-tpcIDYDr5nbkyI6cFjtG_j8dQ8m=w1920-h1080-k-no"
287,"WMFP+7Q5, Devarabisana Halli Lake, Adarsh Palm Retreat, Bellandur, Bengaluru, Karnataka 560103, India",Bengaluru,,12.923147,77.6869832,,Karnataka,"WMFP+7Q5, Devarabisana Halli Lake",ದೇವರಬೀಸನಹಳ್ಳಿ ಕೆರೆ,4.4,Tourist attraction,"https://lh5.googleusercontent.com/p/AF1QipOWvRHdAZ8lYJz5GDuzH5G1IZy81iP-QdhZEhL8=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipNcpsiEo0VPlbPAFZ0boc8PJS_Rs2z2UbgwCmas=w1920-h1080-k-no"
288,"WMGG+GRX, Bellandur Flyover, Bellandur, Bengaluru, Karnataka 560103, India",Bengaluru,,12.9263595,77.6771158,,Karnataka,"WMGG+GRX, Bellandur Flyover",Bellandur railing bridge,3.5,Tourist attraction,
289,"XP65+QR9, Rd Around The Park, AECS Layout - D Block, AECS Layout, Marathahalli, Bengaluru, Karnataka 560037, India",Bengaluru,,12.9619244,77.7096164,,Karnataka,"XP65+QR9, Rd Around The Park",Nisarga Park,4.2,"Tourist attraction, Park","https://lh5.googleusercontent.com/p/AF1QipNPWswAh5qUBQ5ibEZuwG_B3W-zA4S9lh-nfUrF=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipM2pUKras21rrW8YHPuRnzOOEYw246AwRaEukFc=w1920-h1080-k-no"
