id,address,city,description,latitude,longitude,price,state,street,title,totalScore,categories,image_url
185,"VH5G+7V5, 5th Main Rd, Royal County, Kembathalli, Kothnur, Karnataka 560083, India",Kothnur,,12.8581425,77.577231,,Karnataka,"VH5G+7V5, 5th Main Rd",Kembattahalli Lake ಕೆಂಬತ್ತಳ್ಳಿ ಕೆರೆ,3.9,"Tourist attraction, Landmark","https://lh5.googleusercontent.com/p/AF1QipNu7fnpC_WDVEoT981Rk4W5QwL04mPwse5bY1aM=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipPifjdXo-bZ1NvKjacTr9Ai7MnMqEoH3rxL6ztJ=w1920-h1080-k-no"
186,"16, 7th Cross Rd, NGR Layout, KAS Officers Colony, Roopena Agrahara, Bommanahalli, Bengaluru, Karnataka 560068, India",Bengaluru,,12.9122167,77.6212769,,Karnataka,"16, 7th Cross Rd",BTM Lake Eastern Most Point,4.2,Tourist attraction,"https://lh5.googleusercontent.com/p/AF1QipMou5_KZQ0xfFuU-xiZK1UHorwy8tUviEVjG_0y=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipO1uCC7OHIrqzSQfSgFrefj4JmHbpvMtCPtO4nc=w1920-h1080-k-no"
187,"Shop No 303, Baga, Road, Goa 403516, India",Bengaluru,,12.9818922,77.594504,,Goa,"Shop No 303, Baga, Road",NATIONAL TOURS AND TRAVEL,,Tourist attraction,
188,"3HR3+X85, Adityanagar, Vidyaranyapura, Rajahmundry, Karnataka 560097, India",Rajahmundry,,13.0923956,77.553344,,Karnataka,3HR3+X85,Chikkabettahalli Lake,3.7,Tourist attraction,"https://lh5.googleusercontent.com/p/AF1QipOHXum3WdoYEc45ajCRswJxdy9FsfvAw2t6Hbl8=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipMeuBicHeGB2tPxFqeeSsEN-A035D-UYnnCRVxU=w1920-h1080-k-no"
189,"Venkateshwara Tours And Travels, 5th Block, HRBR Layout, Kalyan Nagar, Bengaluru, Karnataka 560043, India",Bengaluru,,13.0360164,77.6310672,,Karnataka,Venkateshwara Tours And Travels,Venkateshwara Tours And Travels,,Tourist attraction,
190,"WJ5P+F34, Sector 7, HSR Layout, Bengaluru, Karnataka 560102, India",Bengaluru,,12.9087576,77.6352847,,Karnataka,WJ5P+F34,Tycho crater,5.0,Tourist attraction,
191,"WJJ9+WP, John Nagar, Koramangala, Bengaluru, Karnataka 560034, India",Bengaluru,,12.9312458,77.620271,,Karnataka,WJJ9+WP,Deer Park,4.3,"Tourist attraction, Park, Animal park","https://lh5.googleusercontent.com/p/AF1QipMJLROi-cjxIIdkNUh2quSAISvYthu4gd1t7q5s=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipOmslNam2bLCasPdUKUfeyjcyjWFQva2j9rLZd9=w1920-h1080-k-no"
192,"WJF5+6GP, Tavarekere, Ramappa layout, 1st Stage, BTM Layout, Doddaballapura, Karnataka 560081, India",Doddaballapura,,12.9230978,77.6088166,,Karnataka,WJF5+6GP,Gatti,,Tourist attraction,
193,"WJ3J+MX3, Madina Nagar, Sector 7, Mangammanapalya, Bengaluru, Karnataka 560068, India",Bengaluru,,12.9041277,77.6324214,,Karnataka,WJ3J+MX3,Sultan circle,,Tourist attraction,
194,"WJ52+3F2, Vega City Mall, Bannerghatta Main Rd, Bengaluru, India",Bengaluru,,12.9076299,77.601155,,Karnataka,"WJ52+3F2, Vega City Mall, Bannerghatta Main Rd",Halucinate,,Tourist attraction,"https://lh5.googleusercontent.com/p/AF1QipMfFwqYHLYykmX0mMiHs6tpqx5hsHPMeAUgw-Qf=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipNzTc5tVon09zv-8MAaBiizFQi8kGwLAvlDk4Ft=w1920-h1080-k-no"
195,"1141, 21st A Cross Rd, Sector 3, HSR Layout, Bengaluru, Karnataka 560102, India",Bengaluru,"Popular place home to many types of trees & flowers, with a long walking track & play equipment.",12.9105579,77.6397773,,Karnataka,"1141, 21st A Cross Rd",Tree Park,4.5,"Tourist attraction, Park","https://lh5.googleusercontent.com/p/AF1QipN6K9qrX2XOcVOHNXZ3RvZaCkxs8svj7flxxjRX=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipNV-NoF8up0KcPIRCdrt_rp9EczmLgD3DsbXmhv=w1920-h1080-k-no"
196,"4J85+WGC Airport Road, Palanahalli Rd, beside Jaguar Showroom international, Vinayak Nagar, Yelahanka, Bengaluru, Karnataka 560064, India",Bengaluru,,13.1173594,77.6087995,,Karnataka,"4J85+WGC Airport Road, Palanahalli Rd, beside Jaguar Showroom international",Palanahalli Bridge,4.7,Tourist attraction,"https://lh5.googleusercontent.com/p/AF1QipNQn4sZn9uLJ1LlYxuRGkBM81HD4Z1IZ8DcPEVs=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipM4Xsvpkrct9SiPrtJhgivmJSMpw2r0qvEoKITM=w1920-h1080-k-no"
197,"Snn, RAJ SERENITY, Suraksha nagar, Yelenahalli, Begur, Bengaluru, Karnataka 560068, India",Bengaluru,,12.8590684,77.61459,,Karnataka,"Snn, RAJ SERENITY",Mallu Traveller Quilon,,Tourist attraction,
